Move,Type,Category,Power Points,Base Power,Accuracy,Effects,Critical Rate,Speed Priority
Absorb,grass,special,25,20,100,User recovers half the damage inflicted.,0.0417,0
Acid Armor,poison,other,20,0,101,Raises user's Defense two stages.,0.0,0
Acid Spray,poison,special,20,40,100,Lowers opponent's Special Defense two stages.,0.0417,0
Acrobatics,flying,physical,15,55,100,Increases damage by 100% if user is not holding an item.,0.0417,0
Acupressure,normal,other,30,0,101,Raises one of the user's stats randomly by two stages.,0.0,0
Aerial Ace,flying,physical,20,60,101,Cannot miss.,0.0417,0
After You,normal,other,15,0,101,Target moves immediately after the user,0.0,0
Agility,psychic,other,30,0,101,Raises user's Speed two stages.,0.0,0
Air Cutter,flying,special,25,60,95,Has an increased Critical Hit ratio,0.125,0
Air Slash,flying,special,15,75,95,May cause opponent to flinch.,0.0417,0
Ally Switch,psychic,other,15,0,101,Switches place with other Pokémon on field,0.0,2
Amnesia,psychic,other,20,0,101,Raises user's Special Defense two stages.,0.0,0
Ancient Power,rock,special,5,60,100,May raise all user's stats one stage.,0.0417,0
Aqua Cutter,water,physical,20,70,100,No effect.,0.125,0
Aqua Jet,water,physical,20,40,100,Has increased Speed Priority,0.0417,1
Aqua Step,water,physical,10,80,100,Raises user's Speed one stage.,0.0417,0
Aqua Tail,water,physical,10,90,90,No effect.,0.0417,0
Arm Thrust,fighting,physical,20,15,100,Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits,0.0417,0
Armor Cannon,fire,special,5,120,100,Lowers user's Defense & Special Defense stats by one stage.,0.0417,0
Assurance,dark,physical,10,60,100,Doubles damage if target has already received damage this turn.,0.0417,0
Astonish,ghost,physical,15,30,100,May cause opponent to flinch.,0.0417,0
Aura Sphere,fighting,special,20,80,101,Cannot miss.,0.0417,0
Aurora Veil,ice,other,20,0,101,"This move will put up a protective barrier that will reduce the damage inflicted by attacks by 50% in Single Battles, and 33% in Double Battles. It can run in conjunction with Reflect and Light Screen but does not stack. It can only be activated during Hail, but will continue if Hail ends during its time. The ability Infiltrator ignores its effects",0.0,0
Avalanche,ice,physical,10,60,100,Power doubles if user was hit before using the Attack.,0.0417,-4
Axe Kick,fighting,physical,10,120,90,"May confuse the opponent. If the move misses, the user takes 25% damage",0.0417,0
Baby-Doll Eyes,fairy,other,30,0,100,Lowers opponent's Attack stat one stage,0.0,1
Baton Pass,normal,other,40,0,101,Switches out the user but stat changes remain.,0.0,0
Beat Up,dark,physical,10,1,100,Does additional damage for every Pokémon in trainer's team.,0.0417,0
Belch,poison,special,10,120,90,Consumes a Berry,0.0417,0
Belly Drum,normal,other,10,0,101,Cut's half of user's maximum HP and maximizes Attack.,0.0,0
Bite,dark,physical,25,60,100,May cause opponent to flinch.,0.0417,0
Bitter Blade,fire,physical,10,90,100,User recovers half the damage inflicted.,0.0417,0
Blast Burn,fire,special,5,150,90,User cannot Attack on the next turn.,0.0417,0
Blizzard,ice,special,5,110,70,May Freeze opponent.,0.0417,0
Block,normal,other,5,0,101,Prevents the opponent from escaping.,0.0,0
Body Press,fighting,physical,10,80,100,Users the user's Defense stat in damage calculation rather than Attack stat,0.0417,0
Body Slam,normal,physical,15,85,100,May induce paralysis.,0.0417,0
Boomburst,normal,special,10,140,100,No effect.,0.0417,0
Bounce,flying,physical,5,85,85,"The user is protected the first turn, Attacks the second turn. May induce Paralysis",0.0417,0
Brave Bird,flying,physical,15,120,100,User takes recoil damage equal to a third of the damage inflicted.,0.0417,0
Breaking Swipe,dragon,physical,15,60,100,Lowers all opponent's Attack one stage,0.0417,0
Brick Break,fighting,physical,15,75,100,"This move will remove any Reflect, Light Screen, Aurora Veil or that is in play on the opponent's team.",0.0417,0
Brutal Swing,dark,physical,20,60,100,No effect.,0.0417,0
Bug Bite,bug,physical,20,60,100,Removes target's Berry and uses its effect,0.0417,0
Bug Buzz,bug,special,10,90,100,May lower opponent's Special Defense one stage.,0.0417,0
Bulk Up,fighting,other,20,0,101,Raises user's Attack and Defense one stage.,0.0,0
Bulldoze,ground,physical,20,60,100,May lower opponent's Speed one stage.,0.0417,0
Bullet Seed,grass,physical,30,25,100,Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits,0.0417,0
Calm Mind,psychic,other,20,0,101,Raises user's Special Attack and Special Defense one stage.,0.0,0
Charge,electric,other,20,0,101,Boosts power of user's next Electric-type Attack by 100%. Increases user's Special Defense by 1 stage,0.0,0
Charge Beam,electric,special,10,50,90,May raise user's Special Attack one stage,0.0417,0
Charm,fairy,other,20,0,100,Lowers opponent's Attack two stages.,0.0,0
Chilling Water,water,special,20,50,100,Lowers opponent's Attack one stage.,0.0417,0
Circle Throw,fighting,physical,10,60,90,Forces opponent to switch Pokémon.,0.0417,-6
Clear Smog,poison,special,15,50,101,Removes all stat changes,0.0417,0
Close Combat,fighting,physical,5,120,100,Lowers user's Defense & Special Defense stats by one stage.,0.0417,0
Coil,poison,other,20,0,101,"Raises Attack, Defense & Accuracy one stage.",0.0,0
Collision Course,fighting,physical,5,100,100,Boosts damage by 50% if the move is Super Effective on the target,0.0417,0
Comeuppance,dark,physical,10,1,100,Damages the last Pokémon to hit the user with 150% of the damage inflicted on the user,0.0417,0
Confuse Ray,ghost,other,10,0,100,Induces Confusion,0.0,0
Confusion,psychic,special,25,50,100,May induce Confusion,0.0417,0
Copycat,normal,other,20,0,101,Uses the move used just before it in battle.,0.0,0
Cosmic Power,psychic,other,20,0,101,Raises user's Defense and Special Defense one stage.,0.0,0
Counter,fighting,physical,20,1,100,"If hit by a physical Attack, deals double the damage received.",0.0417,-5
Covet,normal,physical,25,60,100,May steal opponent's item (temporarily in trainer battles).,0.0417,0
Crabhammer,water,physical,10,100,90,Has an increased Critical Hit ratio,0.125,0
Cross Chop,fighting,physical,5,100,80,Has an increased Critical Hit ratio,0.125,0
Cross Poison,poison,physical,20,70,100,Has high critical hit ratio. May induce poison.,0.125,0
Crunch,dark,physical,15,80,100,May lower opponent's Defense one stage.,0.0417,0
Curse,ghost,other,10,0,101,"Ghost type Pokémon: User loses half their maximum HP, and the opponent gets a Nightmare. Other Pokémon types: Raises user's Attack and Defense one stage. Lowers user's Speed one stage.",0.0,0
Dark Pulse,dark,special,15,80,100,May cause opponent to flinch.,0.0417,0
Dazzling Gleam,fairy,special,10,80,100,No effect.,0.0417,0
Defense Curl,normal,other,40,0,101,Raises user's Defense one stage. Damage from Rollout & Ice Ball is doubled.,0.0,0
Destiny Bond,ghost,other,5,0,101,"If the user faints, the opponent will also faint. Will fail on successive uses.",0.0,0
Detect,fighting,other,5,0,101,"If used in succession with other protection moves, its success rate is cut to 33% of what it was, working cumulatively the more it's used. This will prevent damage and effects of almost all possible attacks that would be inflicted upon the user.There are a few moves and abilities which do break through this move The following moves are also unaffected by Protect & Detect: Doom Desire (delayed damage only), Future Sight (delayed damage only), Feint, Hyperspace Fury, Hyperspace Hole, Imprison, Perish Song, Phantom Force, Psych Up, Shadow Force, Transform",0.0,4
Dig,ground,physical,10,80,100,"The user is protected the first turn, Attacks the second turn.",0.0417,0
Disable,normal,other,20,0,100,Disables opponent's last move.,0.0,0
Disarming Voice,fairy,special,15,40,101,Never Misses.,0.0417,0
Discharge,electric,special,15,80,100,May induce paralysis.,0.0417,0
Dive,water,physical,10,80,100,"The user is protected the first turn, Attacks the second turn.",0.0417,0
Doodle,normal,other,10,0,100,Changes the Abilities of all your Pokémon on the field to that of the targetted Pokémon,0.0,0
Double-Edge,normal,physical,15,120,100,User takes recoil damage equal to a third of the damage inflicted.,0.0417,0
Double Hit,normal,physical,10,35,90,Attacks twice in a row.,0.0417,0
Double Kick,fighting,physical,30,30,100,Attacks twice in a row.,0.0417,0
Double Shock,electric,physical,5,120,100,"Removes Electric-type from user. If user was pure Electric-type, it is now without a type.",0.0417,0
Double Team,normal,other,15,0,101,Raises user's Evasion one stage.,0.0,0
Draco Meteor,dragon,special,5,130,90,Lowers user's Special Attack two stages.,0.0417,0
Dragon Breath,dragon,special,20,60,100,May induce paralysis.,0.0417,0
Dragon Claw,dragon,physical,15,80,100,No effect.,0.0417,0
Dragon Dance,dragon,other,20,0,101,Raises user's Attack and Speed one stage.,0.0,0
Dragon Pulse,dragon,special,10,85,100,No effect.,0.0417,0
Dragon Rush,dragon,physical,10,100,75,May cause opponent to flinch.,0.0417,0
Dragon Tail,dragon,physical,10,60,90,Forces opponent to switch Pokémon.,0.0417,-6
Drain Punch,fighting,physical,10,75,100,User recovers half the damage inflicted.,0.0417,0
Draining Kiss,fairy,special,10,50,100,User recovers 75% the damage inflicted.,0.0417,0
Drill Peck,flying,physical,20,80,100,No effect.,0.0417,0
Drill Run,ground,physical,10,80,95,Has an increased Critical Hit ratio,0.125,0
Dual Wingbeat,flying,physical,10,40,90,No effect.,0.0417,0
Earth Power,ground,special,10,90,100,May lower opponent's Special Defense one stage.,0.0417,0
Earthquake,ground,physical,10,100,100,"If used against an opponent that is using Dig, the damage inflicted will be doubled",0.0417,0
Echoed Voice,normal,special,15,40,100,"This move increases in power when used by y Pokémon on your side in the last turn. The increase is by 100%. If two Pokémon use it in Double or Triple Battles or it's used repeatedly, the second power is 80 and if a third Pokémon uses it, its Base Power is 160. If it's used a fourth time within the same two turns, it is capped at 200.",0.0417,0
Eerie Impulse,electric,other,15,0,100,Lowers opponent's Special Attack two stages.,0.0,0
Electric Terrain,electric,other,10,0,101,This move creates a terrain that helps Pokémon on the ground for 5 turns. It prevents the Pokémon from sleep and boosts the power of Electric-type moves on grounded Pokémon by 30%,0.0,0
Electro Ball,electric,special,10,1,100,Electro Ball is unique in that its power is determined based upon both the user's speed and the speed of the target. More damage is inflicted if the opponent is slower than the user. This isn't done via a specific calculation but has set amounts based upon the speed values.SpeedBase PowerTarget Speed > 50% of User60Target Speed > 33% of User80Target Speed > 25% of User120Target Speed < 25% of User150,0.0417,0
Electro Drift,electric,special,5,100,100,Boosts damage by 50% if the move is Super Effective on the target,0.0417,0
Ember,fire,special,25,40,100,May induce burn.,0.0417,0
Encore,normal,other,5,0,100,"This move causes the target to use their last used move for their next three turns. It will fail if the target's move failed, it hasn't used a move since being sent out, or if the last move they used has 0PP. It will also fail if the target used Encore, Mimic, Mirror Move, Sketch, Struggle or Transform in their last turn.",0.0,0
Endeavor,normal,physical,5,1,100,Reduces the target's Hit Points to match the current Hit Points of the user.,0.0417,0
Endure,normal,other,10,0,101,"If used in succession with other protection moves, it has a 50% reduction in its success rate. Endure runs differently to the other moves. It doesn't prevent damage from attacks, but rather it prevents the Pokémon from fainting.When Endure is used and is successful, it will prevent the user from being knocked out by leaving the user with 1 Hit Point. This lasts the entire turn so it can receive multiple hits which end up doing no damage. This can be used with multiple strategies and moves including Reversal so that you can get your Hit Points down safely and then do massive damageSeveral items and abilities work in a similar manner to Endure; Sturdy leaves the user with 1 Hit Point if the user was to be knocked out when having full Hit Points. In a similar manner, the item Focus Sash works in an identical way. However, the other item; Focus Band will work regardless of Hit Points as it has a 10% chance of allowing the user to hold on from a move which would knock it out. Like the previous item, it'll leave it at 1 Hit Point.",0.0,4
Energy Ball,grass,special,10,90,100,May lower opponent's Special Defense one stage.,0.0417,0
Entrainment,normal,other,15,0,100,"This move changes the opponent's abiliy to that of the user of this move. Doesn't work against Pokémon with the Truant, Zen Mode or Multitype abilities.",0.0,0
Expanding Force,psychic,special,10,80,100,Increases damage by 50% during Psychic-terrain.,0.0417,0
Explosion,normal,physical,5,250,100,User faints,0.0417,0
Extrasensory,psychic,special,20,80,100,May cause opponent to flinch.,0.0417,0
Facade,normal,physical,20,70,100,Move's power is doubled if afflicted with a Status Condition,0.0417,0
Fairy Wind,fairy,special,30,40,100,No effect.,0.0417,0
Fake Out,normal,physical,10,40,100,Causes opponent to flinch.,0.0417,3
Fake Tears,dark,other,20,0,100,Lowers opponent's Special Defense two stages.,0.0,0
False Swipe,normal,physical,40,40,100,Leaves the foe with at least 1 HP.,0.0417,0
Feather Dance,flying,other,15,0,100,Lowers opponent's Attack two stages.,0.0,0
Feint,normal,physical,10,30,100,Ignores & removes Protect & Detect,0.0417,2
Fiery Dance,fire,special,10,80,100,May raise user's Special Attack one stage,0.0417,0
Fillet Away,normal,physical,10,0,101,"Raises the user's Attack, Special Attack and Speed by 2 stages. Reduces 50% maximum HP from the user",0.0,0
Final Gambit,fighting,special,5,1,100,User faints. Does damage to the opponent equal to the amount of lost HP on the user.,0.0417,0
Fire Blast,fire,special,5,110,85,May induce burn.,0.0417,0
Fire Fang,fire,physical,15,65,95,May BURN opponent or cause opponent to flinch.,0.0417,0
Fire Pledge,fire,special,10,80,100,"This move, if used in Double/Triple Battles with Water Pledge, will create a rainbow which doubles the changes of moves having Seconday Effects for four turns. The power is increased to 150
This move, if used in Double/Triple Battles with Grass Pledge, will damage the opponents by 1/8th of their total Hit Points for four turns. If the opponents are of the Fire-Type, they don't receive damage.  The power is increased to 150",0.0417,0
Fire Punch,fire,physical,15,75,100,May induce burn.,0.0417,0
Fire Spin,fire,special,15,35,85,Traps opponent.,0.0417,0
First Impression,bug,physical,10,90,100,Only works on first turn user is in battle,0.0417,2
Fissure,ground,physical,5,1,30,May cause one-hit KO.,0.0417,0
Flail,normal,physical,15,1,100,Inflicts more damage when the user's HP is down.,0.0417,0
Flame Charge,fire,physical,20,50,100,Raises user's Speed one stage.,0.0417,0
Flame Wheel,fire,physical,25,60,100,May induce burn.,0.0417,0
Flamethrower,fire,special,15,90,100,May induce burn.,0.0417,0
Flare Blitz,fire,physical,15,120,100,User receives 1/3rd of damage in re-coil. May BURN opponent.,0.0417,0
Flash Cannon,steel,special,10,80,100,May lower opponent's Special Defense one stage.,0.0417,0
Flatter,dark,other,15,0,100,Induces Confusion. Raises opponent's Special Attack one stage.,0.0,0
Fling,dark,physical,10,1,100,Item's power and effects change based on the user's hold item. User no longer has the hold item.,0.0417,0
Flip Turn,water,physical,20,60,100,Pokémon switches out from battle,0.0417,0
Flower Trick,grass,other,10,70,101,No effect.,1.0,0
Fly,flying,physical,15,90,95,"The user is protected the first turn, Attacks the second turn.",0.0417,0
Focus Blast,fighting,special,5,120,70,May lower opponent's Special Defense one stage.,0.0417,0
Focus Energy,normal,other,30,0,101,Increases user's critical hit rate.,0.0,0
Focus Punch,fighting,physical,20,150,100,"Moves first in turn to charge, and last in the same turn to Attack. If damaged between this, the user flinches.",0.0417,-3
Follow Me,normal,other,20,0,101,Draws Attacks towards the user rather than ally,0.0,2
Force Palm,fighting,physical,10,60,100,May induce paralysis.,0.0417,0
Foul Play,dark,physical,15,95,100,This move utilises the opponent's current Attack stat into the calculation of this move. This takes status conditions and stat boosts/drops into consideration but does not include any boost from the opponent's ability.,0.0417,0
Freeze-Dry,ice,special,20,70,100,Will always have a Super Effective hit on Water-type Pokemon,0.0417,0
Frenzy Plant,grass,special,5,150,90,User cannot Attack on the next turn.,0.0417,0
Fury Attack,normal,physical,20,15,85,Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits,0.0417,0
Fury Cutter,bug,physical,20,40,95,Move's power raises next turn if the move is successful.,0.0417,0
Fury Swipes,normal,physical,15,18,80,Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits,0.0417,0
Future Sight,psychic,special,10,120,100,"This move causes damage to the opponent two turns after it is used. The damage given cannot critical hit without external influence. It bypasses any Protection (Protect, Endure etc.) of the opponent on the turn it damages and if the opponent switches out, it hits the new Pokémon",0.0417,0
Gastro Acid,poison,other,10,0,100,Removes the target's ability,0.0,0
Giga Drain,grass,special,10,75,100,User recovers half the damage inflicted.,0.0417,0
Giga Impact,normal,physical,5,150,90,User cannot Attack on the next turn.,0.0417,0
Gigaton Hammer,steel,physical,5,160,100,No effect.,0.0417,0
Glaive Rush,dragon,physical,5,120,100,Makes target's moves not miss and inflict double damage during the next turn,0.0417,0
Glare,normal,other,30,0,100,Induces Paralysis,0.0,0
Grass Knot,grass,special,20,1,100,"This attack's power is based on your target's weight. This alone determines how strong, or how weak the attack is going to be. With as little as 20 Base Power, it can go as high as 120, making it a very powerful attack if used against the right team. Below is the set up of how it is calculatedWeightBase PowerUnder 10kgUnder 22lbs2010.1kg - 25kg22.1lbs - 55lbs4025.1kg - 50kg55.1lbs - 110lbs6050.1kg - 100kg110.1lbs - 220lbs80100.1kg - 200kg220.1lbs - 440lbs100Over 200kgOver 440lbs120",0.0417,0
Grass Pledge,grass,special,10,80,100,"This move, if used in Double/Triple Battles with Water Pledge, will create a marsh which reduces the speed of all opponents by 75% for four turns.  The power is increased to 150
This move, if used in Double/Triple Battles with Fire Pledge, will damage the opponents by 1/8th of their total Hit Points for four turns. If the opponents are of the Fire-Type, they don't receive damage.  The power is increased to 150",0.0417,0
Grassy Terrain,grass,other,10,0,101,This move creates a terrain that helps Pokémon on the ground for 5 turns. It increases their Hit Points by 1/16th per turn and increases Grass-type move power by 30%,0.0,0
Gravity,psychic,other,5,0,101,Removes Ground-type resistance. Prevents certain moves from being used. Lowers all Pokémon's Evasion two stages,0.0,0
Growl,normal,other,40,0,100,Lowers opponent's Attack one stage.,0.0,0
Growth,normal,other,20,0,101,"This move increases Attack & Special Attack one stage in standard weather. However, if Sunny Day or Drought has been used and Growth is then used, the Pokémon's Attack & Special Attack is increased by two stages",0.0,0
Guard Swap,psychic,other,10,0,101,Switches user's Defense & Special Defense stat increases with opponent.,0.0,0
Guillotine,normal,physical,5,1,30,May cause one-hit KO.,0.0417,0
Gunk Shot,poison,physical,5,120,80,May induce poison.,0.0417,0
Gust,flying,special,35,40,100,Hits opponents using Fly,0.0417,0
Gyro Ball,steel,physical,5,1,100,"This attack's Base Power is anything from 1 up to 150 making it a very powerful attack to be used. However, this is completely dependant on your Pokémon's Speed as well as the Speed of your target. First, the user & targets speeds are claculated. Their Speed Stat is taken into account as well as other effects such as previous attack effects that my have raised or lowered speed, whether the Pokémon is Paralyzed and whether or not it is holding an item that lowers Speed such as the Power Items used to train EVs or an Iron ball.With these statistics now calculated, a simple equation is made to determine the base power of the attackBase Power = FLOOR((25 * TargetSpeed / UserSpeed) + 1)With this equation, it is very easy to see that if the user has a considerably lower speed, due to being a slow Pokémon or just being unlucky and having had loads of attacks that have lowered speed used on it as well as being Paralyzed and holding an Iron Ball, it will do considerable damage. However, even if the Base Power calculation obtains an amount that is greater than 150, you will never have more than that.",0.0417,0
Hammer Arm,fighting,physical,10,100,90,Lowers user's Speed one stage.,0.0417,0
Harden,normal,other,30,0,101,Raises user's Defense one stage.,0.0,0
Haze,ice,other,30,0,101,Resets all ability stages.,0.0,0
Head Smash,rock,physical,5,150,80,User receives half the damage inflicted in recoil,0.0417,0
Headbutt,normal,physical,15,70,100,May cause opponent to flinch.,0.0417,0
Headlong Rush,ground,physical,5,120,100,Lowers user's Defense & Special Defense stats by one stage.,0.0417,0
Heat Wave,fire,special,10,95,90,May induce burn.,0.0417,0
Heavy Slam,steel,physical,10,1,100,Increases damage based on the weight of the user and opponent,0.0417,0
Helping Hand,normal,other,20,0,101,Increases power of ally Pokémon's Attacks by 50%,0.0,5
Hex,ghost,special,10,65,100,Doubles damage when targed is afflicted with a status condition,0.0417,0
High Horsepower,ground,physical,10,95,95,No effect.,0.0417,0
Hone Claws,dark,other,15,0,101,Raises user's Attack & Accuracy stats one stage.,0.0,0
Horn Attack,normal,physical,25,65,100,No effect.,0.0417,0
Howl,normal,other,40,0,101,Raises user and ally's Attack one stage.,0.0,0
Hurricane,flying,special,10,110,70,"This move has different accuracies depending upon the weather. In Rain, it has an accuracy of 100%. In Sunshine, it has an accuracy of 50%. In all other weather states, it has an accuracy of 70%. It can do damage to Pokémon that are in the Process of using Fly, Sky Drop or Bounce",0.0417,0
Hydro Cannon,water,special,5,150,90,User cannot Attack on the next turn.,0.0417,0
Hydro Pump,water,special,5,110,80,No effect.,0.0417,0
Hyper Beam,normal,special,5,150,90,User cannot Attack on the next turn.,0.0417,0
Hyper Drill,normal,physical,5,100,100,No effect.,0.0417,0
Hyper Voice,normal,special,10,90,100,No effect.,0.0417,0
Hypnosis,psychic,other,20,0,60,Induces sleep.,0.0,0
Ice Beam,ice,special,10,90,100,May induce freeze.,0.0417,0
Ice Fang,ice,physical,15,65,95,May FREEZE opponent or cause opponent to flinch.,0.0417,0
Ice Hammer,ice,physical,10,100,90,Lowers user's Speed one stage.,0.0417,0
Ice Punch,ice,physical,15,75,100,May induce freeze.,0.0417,0
Ice Shard,ice,physical,30,40,100,Has increased Speed Priority,0.0417,1
Ice Spinner,ice,physical,15,80,100,Destroys Terrains,0.0417,0
Icicle Crash,ice,physical,10,85,90,May cause opponent to flinch.,0.0417,0
Icicle Spear,ice,physical,30,25,100,Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits,0.0417,0
Icy Wind,ice,special,15,55,95,May lower opponent's Speed one stage.,0.0417,0
Imprison,psychic,other,10,0,101,Opponent cannot use any move that user knows.,0.0,0
Incinerate,fire,special,15,60,100,Removes opponent's hold berry.,0.0417,0
Inferno,fire,special,5,100,50,May induce burn.,0.0417,0
Infestation,bug,special,20,20,100,Traps opponent.,0.0417,0
Ingrain,grass,other,20,0,101,Recovers user's Hit Points by 1/16th each turn. Prevents user from Switching out.,0.0,0
Iron Defense,steel,other,15,0,101,Raises user's Defense two stages.,0.0,0
Iron Head,steel,physical,15,80,100,May cause opponent to flinch.,0.0417,0
Iron Tail,steel,physical,15,100,75,May lower opponent's Defense one stage.,0.0417,0
Jaw Lock,dark,physical,10,80,100,Prevents both the user and the target from escaping,0.0417,0
Jet Punch,water,physical,15,60,100,No effect.,0.0417,1
Knock Off,dark,physical,20,65,100,"If the target of this move is holding an item, then the target will lose the item and the power of the move is increased by 50%.  The item cannot be recovered with RecycleIf the Pokémon is holding an item that cannot be removed, such as Giratina with the Griseous Orb, Arceus holding any of its plates or a Pokémon who is holding a Mega Stone needed for it to Mega Evolve, then the move will not do extra damage and they will not lose the hold item. If the user is knocked out from recoil caused by the opponent's hold item or ability, then the opponent will keep the hold item. If the target has got the Sticky Hold ability, the damage will be increased, but the opponent will not lose the hold item.",0.0417,0
Kowtow Cleave,dark,physical,10,85,101,No effect.,0.0417,0
Last Resort,normal,physical,5,140,100,No effect.,0.0417,0
Last Respects,ghost,physical,10,50,100,"This attack will increase its base power based on the amount of Pokémon that are fainted in your party. For each Pokémon fainted, it increases by 50 base power.",0.0417,0
Lava Plume,fire,special,15,80,100,May induce burn.,0.0417,0
Leaf Blade,grass,physical,15,90,100,Has an increased Critical Hit ratio,0.125,0
Leaf Storm,grass,special,5,130,90,Lowers user's Special Attack two stages.,0.0417,0
Leafage,grass,physical,40,40,100,No effect.,0.0417,0
Leech Life,bug,physical,10,80,100,User recovers half the damage inflicted.,0.0417,0
Leech Seed,grass,other,10,0,90,User steals HP from the opponent every turn.,0.0,0
Leer,normal,other,30,0,100,Lowers opponent's Defense one stage.,0.0,0
Lick,ghost,physical,30,30,100,May induce paralysis.,0.0417,0
